        Name        Kor Eng Math Sum  Avg   Rank
------------------------------------------------
ChoiYunSeong          59  40  50 149  49.67  10
HongJinHo             90  85  75 250  83.33   6
LeeGiSuk              85  92  71 248  82.67   8
LeeJaeDong            95  81  85 261  87.00   3
LeeYoungHo            90  85  75 250  83.33   7
LeeYunYeol            85  95  75 255  85.00   4
LimYoHan              95  80  89 264  88.00   2
MaJaeYoon             55  59  43 157  52.33   9
ParkJungSeok         100 100 100 300 100.00   1
ShinJiSoo             73  95  84 252  84.00   5
